Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1,0,0,0,0,0
0.92,0,0.08,0.053,0.007,0.046
0.83,0,0.17,0.09,0.012,0.078
0.75,0,0.25,0.041,0.015,0.026
0.73,0,0.28,0.017,0.015,0.002
0.63,0,0.37,-0.048,0.017,-0.065
0.25,0,0.75,-0.142,0.015,-0.157
0.08,0,0.92,-0.115,0.007,-0.122
0,0,1,0,0,0
