Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1,0,0,0,0,0
0.92,0,0.08,0.084,0.031,0.053
0.83,0,0.17,0.154,0.061,0.093
0.5,0,0.5,0.163,0.164,-0.001
0.38,0,0.63,0.137,0.2,-0.063
0.25,0,0.75,0.143,0.234,-0.091
0.08,0,0.92,0.233,0.275,-0.042
0,0,1,0,0,0
