Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
0.00,0.00,1.00,0.000,0.000,0.000
0.00,0.08,0.92,-0.172,0.007,-0.179
0.00,0.13,0.88,-0.193,0.010,-0.203
0.00,0.17,0.83,-0.201,0.012,-0.213
0.00,0.50,0.50,-0.138,0.018,-0.156
0.00,0.63,0.38,-0.113,0.017,-0.130
0.00,0.75,0.25,-0.080,0.015,-0.095
0.00,0.83,0.17,-0.057,0.012,-0.069
0.00,0.92,0.08,-0.035,0.007,-0.042
0.00,1.00,0.00,0.000,0.000,0.000
