,CsPbI,MAPbI,FAPbI,Total,Tolerance Factor
0,0.945,0.002,0.052,0.999,0.816
1,0.555,0.001,0.439,0.995,0.884
2,0.213,0.001,0.783,0.996,0.946
3,0.956,0.020,0.021,0.998,0.812
4,0.709,0.005,0.286,1.000,0.859
5,0.004,0.007,0.987,0.997,0.984
6,0.988,0.005,0.006,0.999,0.809
7,0.683,0.308,0.006,0.997,0.839
8,0.377,0.007,0.611,0.995,0.916
9,0.811,0.006,0.178,0.995,0.838
10,0.027,0.003,0.966,0.996,0.980
11,0.988,0.009,0.003,1.000,0.809
12,0.470,0.526,0.003,0.999,0.862
13,0.466,0.001,0.531,0.998,0.902
14,0.008,0.318,0.673,0.998,0.960
15,0.948,0.005,0.046,1.000,0.816
16,0.668,0.002,0.329,0.999,0.866
17,0.004,0.995,0.001,1.000,0.911
18,0.041,0.000,0.956,0.997,0.978
19,0.980,0.010,0.004,0.995,0.807
20,0.844,0.154,0.002,1.000,0.824
21,0.274,0.003,0.720,0.997,0.936
22,0.985,0.014,0.002,1.000,0.809
23,0.580,0.004,0.413,0.998,0.881
24,0.016,0.014,0.968,0.997,0.981
25,0.608,0.389,0.002,1.000,0.848
26,0.003,0.510,0.485,0.998,0.947
27,0.981,0.006,0.009,0.996,0.808
